song_title,artist_name,lyrics
Duniya ki sochugi saade baare
Eh gal billo chhad de, chhad de, chhad de
Apne tu mummy-daddy da vi darr
Dil ton hun kad de, kad de
[Refrain]
Yaar tera superstar, superstar
Yaar tera superstar, superstar
Main putt jatt da manda ni haar
Yaar tera superstar, manda ni haar
[Verse 1]
Tu mere nede, nede nahi
Tere bin mera jee lagda nahi
Muk chali jind meri der na gayi
Baby are you alright?
Kar deni hal main saari mushkil
Rakh yaqeen, just chill
Jehda aaya saade vich, I gonna kill
Baby, are you alright?
[Chorus]
Yaar tera superstar desi kalakaar
Main putt jatt da manda ni haar
Yaar tera superstar desi kalakaar
Main putt jatt da manda ni haar
[Post-Chorus]
Duniya ki sochugi saade baare
Eh gal billo chhad de, chhad de, chhad de
Apne tu mummy-daddy da vi darr
Dil ton hun kad de, kad de
[Verse 2]
Ek kaam kar, khol locker, kadd paihe, pher lock kar
Phone, rakh leya, but bhulli ni ohda charger
Hun, ek bag taiyar kar, taiyar kar, kar na!
Gal sun, hold on, easy, darr na
Take you ID, your passport, credit card, passcode
Zipper, your slipper, your fridge te lageya sticker
Your glossy lipper, mere lai some liquor
Kar na koi fikar, just do it everything quicker
Hun, apne tu piyo de kamre nu la de kundi
Naal mere lai pack kar, thodi roti te bhindi
Aaj rab ne sukh naal saara kaam banata ai
Tere maa-peya nu vi time se suaata ai
Tere doggy nu main nashe waala biscuit paata ai
Excited main edda, Excited main edda
Excited main edda, honeymoon package book kara ta ai
Excited main edda, honeymoon package book kara ta ai
[Chorus]
Yaar tera superstar desi kalakar
Main putt jatt da manda ni haar
Yaar tera superstar desi kalakar
Main putt jatt da manda ni haar
[Pre-Chorus]
Tu meri heer, maine dil se maana tujhe
Har veervar Peer baba se bhi manga tujhe
[Chorus]
Yaar tera superstar desi kalakar
Main putt jatt da manda ni haar
Yaar tera superstar superstar...
[Post-Chorus]
Duniya ki sochugi saade baare
Eh gal billo chhad de, chhad de, chhad de
Apne tu mummy-daddy da vi darr
Dil ton hun kad de, kad de
Duniya ki sochugi saade baare
Eh gal billo chhad de, chhad de, chhad de
Apne tu mummy-daddy da vi darr
Dil ton hun kad de, kad de"
Lungi Dance,Yo Yo Honey Singh,"This is the tribute to Thalaivar
From King Khan
And one and only
Yo Yo Honey Singh!
Moochhon ko thoda round ghumake
Anna ke jaisa chashma lagake
Coconut me lassi milake
Aa jaao sare mood banake (x2)
All the Rajini fans - Thalaivar
Don't miss the chance - Thalaivar
All the Rajini fans - Thalaivar
Don't miss the chance - Do This!
Lungi dance, lungi dance...
Jado jawaani bada jor si ve jaalma
Main taa Rajini da fan si ve jaalma (x2)
Disco me jab ye gana bajega
On the floor aana padega
Lungi ko uthana padega
Step karke dikhana padega (x2)
All the Rajini fans - Thalaivar
Don't miss the chance - Thalaivar
All the Rajini fans - Thalaivar
Don't miss the chance - Do This
Lungi dance, lungi dance...
Night club mai aaya, mai toh
Mujhko rokega kon aur kaiko
Maira mood mai dance karega
Kisika daddy sai ni darega
Jisko jo bi hai wo karna wo kar lo
Idhar hi hoon mai khada pakad lo
Ghar pe jaake tum Google kar lo
Mere bare me Wikipedia pe padh lo
Lungi dance, lungi dance...
Kon mujhsa hai kon
Oh baby yes I am a don
Nahi milega mujhsa go find it!
Don't angry me, mind it!
Arey mere jaise dance kisko aata hai
Choreographer ko mai hi sikhata hai
Woh ghar pe aata hai
Mujhse seekh ke jaata hai
Mujhse seekh ke woh logo ko sikhata hai
Lungi dance, lungi dance...
Moochhon ko thoda round ghumake
Anna ke jaisa chashma lagake
Coconut me lassi milake
Aa jaao sare mood banake (x2)
All the Rajini fans - Thalaivar
Don't miss the chance - Thalaivar
All the Rajini fans - Thalaivar
Don't miss the chance - Do This!
Lungi dance, lungi dance...
Yo Yo Honey Singh!
King Khan
Chennai Express"
Love Dose,Yo Yo Honey Singh,"Lagdi mainu jivein ambraan di queen
Meethiyan gallan kare, kudi namkeen
Lagdi mainu jiven ambraan di queen
Meethiyan gallan kare, kudi namkeen
Lagdi mainu jiven ambraan di queen
Meethiyan gallan kare, kudi namkeen
Patla ja lakk tera, lakk nu sambhal ni
One in the million lagdi kamaal ni
Patla ja lakk tera lakk nu sambhal ni
One in the million lagdi kamaal ni
Lagdi kamaal ni lagdi kamaal ni
Hoya bura haal ni, hoya bura haal ni
Tu aaja mere close
Milta na mauka roz
I want you my baby
Mujhe de de love dose [x2]
Yeah!
Lagdi mainu jiven ambraan di queen
Meethiyan gallan kare, kudi namkeen
Lagdi mainu jiven ambraan di queen
Meethiyan gallan kare, kudi namkeen
((Honey Singh Rap))
Ye chand sa roshan chehra
Baalon ka rang sunehara
Kaise dekhun teri aankhen
Aankhon pe chashme ka pehra [x2]
Iss chashme ko hata do
Aankhon ko mila lo
Aankhon ke nashile jaam
Aankhon se pila do
Lagta hum pehle mile
Ya ho mujhe Déjà vu
Idhar udhar kahan dekhe
Girl I'm talking to you
Ab aankhon se hataya chashma
Aakhein to milaao ji
Duniya waale jo bhi bole
Humse na sharmaao ji
Ab phone utthaao ji
Aur daddy ki millo ji
Unke future son-in-law ki baat unse karwaao ji
""Hello, Uncle, namaste""
Chalo kaam ki baat pe aatein hain
Ab aap ye puchhenge ki
Aap kitne paise kamate hain?
Bas jitna aapki beti
Ek mahine mein udati hai
Ek hafte me meri gaadi utna tel khaati hai
Hai ghar, hai paisa, hai gaadi
Ab do jodon mein ladki bhejo
Ladki hui hamaari
Uncle hai ghar, hai paisa, hai gaadi
Ab do jodon mein ladki bhejo
Ladki hui humaari, OK Bye
((Honey Singh Rap ending))
Lagdi ai mainu jiven ambraan di queen
Meethiyan gallan kare, kudi namkeen [x4]
Aha..
Yo! Yo! Honey Singh [x4]"
Angreji Beat,Yo Yo Honey Singh,"Mundeyan nu chardi thaari thaari thaari ohdi heat te
Marjani paundi bhangra
Angrezi beat te, Angrezi beat te
Angrezi beat te, Angrezi beat te
Ohde silky silky waal, nasal di gori aa
Oh 6 footi muteyaar, ganne di porri aa
Khafa rata ni hundi, kise di cheat te
Marjaani paundi bhangra
Angrezi beat te, Angrezi beat te
Angrezi beat te, Angrezi beat te
O khad taan ja, tu nede aa
Bai idda naa tu gede kha
Oh kahton enni desperate, saanu dasde ke ae rate
Shoe teri da, dress teri da, ghadi jo paayi, guess teri da
Chaaro paase vekh lai kudiye, charcha hotness teri da
Nachdi mainu lagdi shudain, sacchi main taan ho geya fan
Machdi hik nu saambh kude, ni tenu government ne kar dena ban
That is why salah ik laila, main tera majnu bann meri laila
Main teri laila, oh meri laila
Khad ja pehla saah taan laila
Marjaani paundi bhangra
Angrezi beat te, Angrezi beat te
Angrezi beat te, Angrezi beat te
Poori beer-sheer pee ke, rum chada gayi oye
Marjaani nachdi nachdi, gota kha gayo oye
Kehnde hundi kharabi, peeti neat te
Marjaani paundi bhangra
Angrezi beat te, Angrezi beat te
Angrezi beat te, Angrezi beat te"
High Heels,Yo Yo Honey Singh,"Lakk thirkda jaave tera haaye ni kasoor ae sara
Unchi addiyaan da unchi addiyaan da
Dil phisalda jaave tera haaye ni kasoor ae sara
Unchi addiyaan da unchi addiyaan da
Aah! Jaz Dhami its you boy
Yo Yo Honey Singh
Bobbi Brown da make-up laake munde pattde]i jandi ae
Jaz roz hi kare udikaan late night hi aundi ae
Ki kardi mennu samajh ni aave
Haye nee kasoor ae sara
Ucnhi addiyaan unchi addiyaan da
Lakk thirkda jaave tera haaye ni kasoor ae sara
Unchi addiyaan da, unchi addiyaan da
Unchi addiyaan da, unchi addiyaan da
Unchi addiyaan da...
Pehli baat to yeh, Jo tu tik-tok tik-tok chalti hai
Maana ye saari teri high heels ki ghalti hai
Rouk toh jaa tu hang on
Ye to bata tu hai kaun
Kahaan se aayi hai
Kahaan ko jaayegi
Paagal ladki mujhe marwayegi
Bas kar ye jalwe na dikha
Ye sab main bahot dekh chuka
Tujh jaisi toh pat jati hai
Phir durghatna ghat jaati hai
Main hoon shikari kudiye
Khali mera waar nee jaata
Mujhko naa pehchane kyun?
Tere ghar akhbar nee aata!
Teekhe teekhe naina de naal bade nashaane laundi ae
Ki dassan oh mere yaaron jaan nikaldi jandi ae
Thora vi kiyun taras na khawe haye nee kasoor ae sara
Unchi addiyaan da, unchi addiyaan da
Ahh Jaz Dhami itzz you boy
Yo yo Honey Singh
(Unchi eddi heela da...)"
Sunny Sunny,Yo Yo Honey Singh,"आजा ओ Sexy girl मेरे कोल
तेरी जवानी बेबी है अनमोल
Apple Bottom तेरी जैसे, दुनिया गोल
मेरी dirty picture का, करले तू role
मछली जल की रानी है
जीवन जिसका पानी है
आज वो मछली खा जाऊंगा
नाम जिसका Sunny है
मछली जल की रानी है
जीवन जिसका पानी है
आज वो मछली खा जाऊंगा
बात मैने ठानी है
So, funk that, funk that..
What what what wa wa...
Funk love, funk love, wo...
Funk love, funk love
मछली जल की रानी है
जीवन जिसका पानी है
आज वो मच्चली खा जौंगा
नाम जिसका सन्नी है
मछली जल की रानी है
जीवन जिसका पानी है
आज वो मच्चली खा जौंगा
बात मैने ठानी है
So
बस कर तू बस बेबी
ऐंवे ना हंस बेबी
एक साल से तेरे पीछे
अब तो जा फँस बेबी
बस कर तू बस बेबी
ऐनवें ना हस्स बेबी
तुझको मैं बाहों में लेके
फिर दूँगा कस्स बेबी
कशमकश हो होगी ऑल नाइट लोंग बेबी
आदि मानव हूँ मैं किंग कॉंग बेबी
मुझको समझे तू आशिक़ तेरा
ये मस्ट बे रॉंग बेबी
ई डॉन'त गिव आ फूँक तो लोवे
तभी तो बना ये सॉंग बेबी
So, funk that, funk that..
What what what wa wa...
Funk love, funk love, wo...
Funk love, funk love, wo...
Funk love, funk love, wo...
फुदक फुदक के
मुदक फुदक के
मुदक फुदक के
मुदक फुदक फुदक के नाचे तू
सिल्की हैं बाल
ओ सिल्की बालों वाली
पहले सौदे को संभाल
आजा सौदा करले तू सौदागर से
बिगड़ा लड़का हूँ अच्छे घर से
इश्क़ मैने try किया था
कुछ भी है मिलता ना
Waste of time
Waste of money
बेफ़ज़ूल में पिलता रा
मन उदास करके मैं
तारों को गिनता रा
मैं तो खड़ा रहा पर
वक़्त का घंटा हिलता रहा
So, funk that, funk that..
What what what wa wa...
Funk love, funk love, wo...
Funk love, funk love, wo...
Funk love, funk love, wo...
मछली जल की रानी है
जीवन जिसका पानी है
आज वो मछली खा जाऊंगा
नाम जिसका Sunny है
मछली जल की रानी है
जीवन जिसका पानी है
आज वो मछली खा जाऊंगा
बात मैने ठानी है
So!"
Chaar Botal Vodka,Yo Yo Honey Singh,"[Yo Yo Honey Singh ""Chaar Botal Vodka"" के बोल]
[Intro]
चार bottle vodka
काम मेरा रोज़ का
ना कोई मुझको रोके
और ना किसी ने रोका
चार bottle vodka
काम मेरा रोज़ का
ना कोई मुझको रोके
और ना किसी ने रोका
[Verse 1]
मैं रहूँ सारी रात in the bar
दारु पीऊँ लगातार
एक-आधी सब पी लेते हैं
मैं तो पीऊँ bottle चार
[Hook]
चार bottle vodka
काम मेरा रोज़ का
ना कोई मुझको रोके
और ना किसी ने रोका
[Post-Chorus]
So I wanna hangover tonight
I wanna hangover tonight
I wanna hangover tonight
I wanna hangover tonight
[Hook]
चार bottle vodka (I wanna hangover tonight)
काम मेरा रोज़ का
ना कोई मुझको रोके (I wanna hangover tonight)
और ना किसी ने रोका
चार bottle vodka (I wanna hangover tonight)
काम मेरा रोज़ का
ना कोई मुझको रोके (I wanna hangover tonight)
और ना किसी ने रोका
So
[Verse 2]
सारी रात दारू, सुबह नींबू पानी
Party करने वालों की है यही कहानी
पेट भर के जितनी भी पी लो
किसी की बंदी को भी hello
Hello, baby, how do you do?
एक minute को खड़ जा तू
पता नी मुझे यह समझ नी आता
मेरे साथ कभी कोई club नहीं आता
अपने पल्ले से कोई नी पिलाता
मैं पी लूँ ज़्यादा फिर कोई मुंह नी लगाता
क्योंकि, क्योंकि, क्योंकि, क्योंकि
[Hook]
चार bottle vodka
काम मेरा रोज़ का
ना कोई मुझको रोके
और ना किसी ने रोका
चार bottle vodka
काम मेरा रोज़ का
ना कोई मुझको रोके
और ना किसी ने रोका
[Post-Chorus]
चार bottle vodka (I wanna hangover tonight)
काम मेरा रोज़ का
ना कोई मुझको रोके (I wanna hangover tonight)
और ना किसी ने रोका
चार bottle vodka (I wanna hangover tonight)
काम मेरा रोज़ का
ना कोई मुझको रोके (I wanna hangover tonight)
और ना किसी ने रोका
So...
[Bridge]
सूजी-सूजी आँखें मेरी यह फिर भी देखो
लड़कियों को कैसे ये निहारें
अगले दिन वो झूमे hangover में फिर भी देखो
Liver मेरा vodka पुकारे
सूजी-सूजी आँखें मेरी यह फिर भी देखो
लड़कियों को कैसे ये निहारें
अगले दिन वो झूमे hangover में फिर भी देखो
Liver मेरा vodka पुकारे क्योंकि
[Hook]
चार bottle vodka
काम मेरा रोज़ का
ना कोई मुझको रोके
और ना किसी ने रोका
चार bottle vodka
काम मेरा रोज़ का
ना कोई मुझको रोके
और ना किसी ने रोका
चार bottle vodka (I wanna hangover tonight)
काम मेरा रोज़ का
ना कोई मुझको रोके (I wanna hangover tonight)
और ना किसी ने रोका
चार bottle vodka (I wanna hangover tonight)
काम मेरा रोज़ का
ना कोई मुझको रोके (I wanna hangover tonight)
और ना किसी ने रोका
[Outro]
चार bottle vodka
काम मेरा रोज़ का
ना कोई मुझको रोके
और ना किसी ने रोका
चार bottle vodka
काम मेरा रोज़ का
ना कोई मुझको रोके
और ना किसी ने रोका"
Dheere Dheere,Yo Yo Honey Singh,"Har pal meriyaan yadaan
Yadaan vich ae tun
Dil di gal main dassa
Te dassa fir kinnu
Har pal meriyaan yadaan
Yadaan vich ae tun
Dil di gal main dassa
Te dassa fir kinnu
Teri meri, meri teri ik jind'di
Ik jind'di what to do
Jhoomu main naachu main gaaun ke likhun
Tere liye main kya karun
Dheere dheere se meri zindagi mein aana
Dheere dheere se dil ko churana (churana..)
Tumse pyaar hume hai kitna jaane jaana
Tumse mil kar tumko hai batana
Sham wahi, kaam wahi
Tere bina o sanam
Neend nahi, chain nahi
Tere bina o sanam
Sham wahi, kaam wahi
Tere bina o sanam
Neend nahi, chain nahi
Tere bina o sanam
Teri meri, meri teri ik jind'di
Ik jind'di what to do?
Jhoomu main nachu main gaaun ke likhun
Tere liye main kya karun
Dheere dheere se meri zindagi mein aana
Dheere dheere se dil ko churana (churana..)
Tumse pyaar hume hai kitna jaane jaana
Tumse milkar tumko hai batana
Dheere dheere se meri zindagi mein aana
Dheere dheere se dil ko churana (churana..)
Tumse pyaar hume hai kitna jaane jaana
Tumse milkar tumko hai batana
Teri meri story jaise Big Bang Theory
Main sunaun chori-chori ye sab ko
Tu mujhse door main yahan pe majboor
Shikva karun main ye Rabb ko (Rabb ko..)
Ek din tum bin beete lage saal
Mera hua bura haal
Mera hua bura haal
Haal kabhi apna mujhe to bataao na
Aur laut kar wapas kabhi mere paas aao na
Sota hoon kabhi rota hoon
Tere bina o sanam
Paa kar sab kuch khota hoon
Tere bina o sanam
Sota hoon kabhi rota hoon
Tere bina o sanam
Paa kar sab kuch khota hoon
Tere bina o sanam
Teri meri meri teri ik jind'di
Ik jind'di what to do?
Jhoomu main naachun gaaun ke likhun
Tere liye main kya karun
Dheere dheere se meri zindagi mein aana
Dheere dheere se dil ko churana (churana..)
Tumse pyaar humein hai kitna jaan-e-jaana
Tumse mil kar tumko hai batana
Tumse mil kar tumko hai batana
Tumse mil kar tumko hai batana..."
Manali Trance,Yo Yo Honey Singh,"(Intro)
Ahh... Why do I even waste my time?
I've been on dating sites, tried speed dating, I've tried getting a wingman...
And I simply got no game, you know what I'm sayin'?
And I got no one else to blame but myself, y'know?
Check this out
(verse 1)
I'm feelin' fed up as I browse through a dating site
Tryna find the one lady I can call ""Mrs. Right""
But all I get are frights and the ones who rhyme with ""bikes""
And the ones who only wanna ride my spike for one night
I'm vexed, fuming, my patience is shot
And don't even get me started on the thot bots
Let me be clear: I'm not here to put on the ""nice guy"" spiel
I'm not entitled to a girl's attention, I know the deal
If I message a girl, I'm not gonna dog her
Or if I get dissed, I won't commit an Elliot Roger
But it's bad enough most girls online think I'm a scrub
All these doms be hitting me up to be their kowtowing sub
Or they think I'm packing, just cuz I'm black
Want me to bang em in front of their man -- what kinda ish is that?!
I try to kick a cool line, and be kind
But ghosts are the only thing I seem to find
But instead of shooting up a school, I'll just kick a rhyme to let ya know what's on my mind
And oftentimes, I find that the issue is me, cuz I'm often lame
And no dame wants a brother who got no game, know what I'm saying?
(chorus x2)
No game (no game) x2
Bro, Vadell, man, you way too lame
No, game (no game) x2
Bro, Vadell, man, that's such a shame
(verse 2)
The worst part of being lame is that you're constantly cucked
Takes no effort to obstruct you from the girl you're trying to see
Take it from me, The Yangsta does this all the time
Even when I manage to impress a girl with my rhymes
But what little shine I get, he always takes
Doesn't even try to seduce the girls I date
Maybe it's my fate to be single. The thought itself hurts
But who really wants to be with an introvert?
Yangsta got finesse, looks, a car, and money
While I'm like Hev, I got nuttin' but love for ya, honey
I bet Lex is holding her head down in shame
Cuz I'm too lame to tell these girls to peep game
But it's hard when your game is outshined by another's
By a man who you often call your brother
And really, it's not that I try to little or too hard
I'm just a Charmander, while he's a Charizard
(chorus x2)
(Verse 3 - Yangsta)
My bad, bro, I cramped your style
I stole your girl with just one smile
Man, that's awkward, cuz you're my boy
But I'm your cockblocker, I stole your joy
I know you're annoyed by the way that I flex
You'll win too, bro, I promise you're next
No need to stress, all good baby baby
When you progress, you're gonna find your lady
And she's gonna love the dumb things you say
And appreciate your silly, troll-ass ways
And as for me, karma comes full circle
Perhaps one day, I'll be in a role reversal
I'll meet somebody that makes me go cray
Then another dude pulls up, and sweeps her away
And that's just life, no one else to blame
For clowning my boy, cuz having no game
(chorus x2)
(Outro - Vadell)
Yo, yo, yo, yo, yo, hold up, hold up!
How you gonna hop on my track like that man?!
First you steal my girls from me that I'm trying to date, then you hop on my own track and murder me on my own shit!
Can't you let me have something for... (angry groaning)
Man... I can't believe this shit...
Man, why you gotta do that to me, man?
(Groan) I'm out, peace"
Dope Shope,Yo Yo Honey Singh,"Ehna vi na dope shope mareya karo
Saanu vekh ke na nakk chhadeya karo
Saade likhe khatan nu na paadeya karo
Naa hee dujje mundeyan nu
Eddan taadeya karo
Ehna vi na dope shope mareya karo.!
Deep money money
Hey hey kudiye
Aazma ke vekhe nee tu nashe saare
Hona kee ae tera aggey mutiyaare
Aazma ke vekhe nee tu nashe saare
Hona kee ae tera aggey mutiyaare
Ehni sukki vodka na maareya karo
Thoda bahut limca vi pa leya karo.!
Naale thode tikke-shikke tussi khaa leya karo
Ainwi khaali tidh liver na saadheya karo
Ehna vi na dope shope mareya karo.!
Suno mere veero ajj meri kahaani
Main soffiyan da raja
Nashe ch meri rani ...Rani
Paani vi nahin paundi
Jado drink c banaundi
Gatt gatt khicchi jaandi dasso
Main kay karoon.!
Who's that girl
Loki pucchde rehnde ne
Jado nashe vich nacche
Loki takde rehnde ne
Tapp tappde rehnde ne
Naa jappde rehnde ne rab da.! Ha ha
Oh my god ha ha.!
Teri lai lawa photo tu ruke taan sahi
Purchase vi kariye je vike taan sahi
Tuhanu dassa ki main yaaro
Kaliyan da nitt khilna
Jo vi mile chakko kujh fresh nahio milna
Chakko chakko chakko
Kujh fresh nahio milna
Chakko chakko chakko
First hand nahio milna.!
Kehnde si ge munde
Teinu sirre di rakaan
Bann ke tu reh gayi
Hun nashe di dukaan...
Kehnde si ge munde
Teinu sirre di rakaan
Bann ke tu reh gayi
Hun nashe di dukaan...
Haaye dino din mukki jaandi meri jaan
Saare nashe eh te nashe wale khasma u khaan
Teri ehhi gallan ton hun main rehnda pareshan
Ainwi mitti vich rol na punjabiyan di shaan
Ehna vi na dope shope mareya karo.!"
Party All Night,Yo Yo Honey Singh,"[Intro: Yo Yo Honey Singh, 
Akshay Kumar
]
Aaj botlan khullan do
Daaru shaaru ghullan do
Whisky da peg laga ke..
Saari duniya bhullan do
Party all night
Party all night
Party all night
We do party all night
Sun lo sari duniya waalon
Jitna bhi tum zor laga lo
Karenge party sari raat
Gaand mein dum hai to band karva lo
Party all night
Party all night
Party all night
We do party all night
Sun lo sari duniya waalon
Jitna bhi tum zor laga lo
Karenge party sari raat
Gaand mein dum hai to band karva lo
[Hook: Honey Singh, 
Akshay Kumar
]
Aaj botlan khullan do
Daaru shaaru ghullan do
Whisky da peg laga ke..
Saari duniya bhullan do
Bajaate raho
, sabki
Bajaate raho
, sabki
Bajaate raho
, sabki
Bajaate raho
Party all night
Party all night
Party all night
We do party all night
Party all night
Party all night
Party all night
We do party all night
[Verse 1: Yo Yo Honey Singh]
Jisne bhi party hai karni, aa jao mere ghar ke bheetar
Daaru, liquor, khaane ko hai murga teetar
Noida, Gurgaon, Dilli ki chhoriyan aayi hain
Saath mein Yo Yo ki CDiyaan bhi laayi hain
Sawaari saman ki, ib khud zimmedar hain
Kar lo party sari raat, kal itwaar hai
Music bajega loud, to aunty police bula legi
Ib aunty ne ja ke keh do, yeh party yun hi chalegi
[Hook: Yo Yo Honey Singh]
Party all night
Party all night
Party all night
We do party all night
[Post-Hook: Yo Yo Honey Singh & Akshay Kumar]
Aunty police bula legi
Aunty police bula legi
Aunty police bula legi
Aunty police bula legi
Phir bhi party yoon hi chalegi
Party yoon hi chalegi
Party yoon hi chalegi
Ib party yoon hi chalegi
[Pre-Hook: Akshay Kumar, 
Yo Yo Honey Singh
]
Sun lo sari duniya waalon
Jitna bhi tum zor laga lo
Karenge party sari raat
Gaand mein dum hai to band karva lo
Aaj botlan khullan do
Daaru shaaru ghullan do
Whisky da peg laga ke..
Saari duniya bhullan do
Bajaate raho, 
sabki
Bajaate raho, 
sabki
Bajaate raho, 
sabki
Bajaate raho
[Hook: Yo Yo Honey Singh]
Party all night
Party all night
Party all night
We do party all night
Party all night
Party all night
Party all night
We do party all night
[Verse 2: Yo Yo Honey Singh]
Khulli daaru, khulla khana, har koi bole ghar nahi jaana
Daddy ko tu kar de message, aaja ri kar ke bahana
Party ho ri bahut bhayankar, party ke ghajab nazaare
Dikkat hai bas ek baat ki, gaaon mein hai kai taau kanware
Nikkar waali chhori ne ye, vodka chadha rakhi hai
Ek khatam na ho ri is-se, doosri mangwa rakhi hai
Naache dekh ri kaise, aag si laga rakhi hai
Itti si tu hai nahi, huh!, aafat macha rakhi hai
[Hook: Yo Yo Honey Singh]
Party all night
Party all night
Party all night
We do party all night
[Post-Hook: Yo Yo Honey Singh & Akshay Kumar]
Aunty police bula legi
Aunty police bula legi
Aunty police bula legi
Aunty police bula legi
Phir bhi party yoon hi chalegi
Party yoon hi chalegi
Party yoon hi chalegi
Ib party yoon hi chalegi
[Outro: Akshay Kumar, 
Yo Yo Honey Singh
, 
Akshay Kumar & Honey Singh
]
Sun lo sari duniya waalon
Jitna bhi tum zor laga lo
Karenge party sari raat
Gaand mein dum hai to band karva lo
Aaj botlan khullan do
Daaru shaaru ghullan do
Whisky da peg laga ke..
Saari duniya bhullan do
Bajaate raho, 
sabki
Bajaate raho, 
sabki
Bajaate raho, 
sabki
Bajaate raho
Aunty police bula legi
Aunty police bula legi
Aunty police bula legi
Aunty police bula legi
Phir bhi party yoon hi chalegi
Party yoon hi chalegi
Party yoon hi chalegi
Ib party yoon hi chalegi"
Yaar Naa Miley,Yo Yo Honey Singh,"One thousand miles gaddi drive karke aaya
Tere ghar pe, main tere ghar pe
Baby one thousand miles gaddi drive karke aaya
Tere ghar pe, main tere ghar pe
Saari raat, teri raah udigde mere nain
Is it life, I want, I could’t understand
Saari raat, teri raah udigde mere nain
Is it life, I want, I could’t understand
Ab hona jo bhi ho jaaye
Rab di sau eh doori na hun sehni main
Haan naa hun sehni main
Since early in the morning nikla
Chaar baje ka apne ghar se
Main apne ghar se
Baby one thousand miles
Gaddi drive karke aaya
Tere ghar pe, main tere ghar pe
Baby one thousand miles
Gaddi drive karke aaya
Tere ghar pe, main tere ghar pe
(One thousand miles
Gaddi drive karke aaya
Tere ghar pe, main tere ghar pe..)
Thousand miles gaddi drive
Thousand miles gaddi drive
Thousand miles gaddi drive
Thousand miles gaddi drive
Thousand miles thousand miles…
Thousand thousand thousand…
Saari raat, teri raah udigde mere nain
Is it life, I want, I could’t understand
Saari raat, teri raah udigde mere nain
Is it life, I want, I could’t understand
(Rap)
From west fashion site pe
Kiya maine click phir
Quick quick lee kaafi cheeze kari pick
Kaala pendant naal kaali T-Shirt
Aur kaala lower
Service pe gayi hui thi meri white Range Rover
Ghar pe bas khadi hui thi Lamborghini kaali
Tabhi to jitni bhi kaali clothing thi
Ghar pe mangwali
All black so swag
Ho gaya taiyaar kaala shakaala tera yaar
Nikla leke matching car
